Time,Power (W),Rpm,Pulse,Target pulse
2014-08-12T08:46:43,0,42,86,0
2014-08-12T08:46:44,80,57,86,0
2014-08-12T08:46:45,80,72,85,0
2014-08-12T08:46:46,80,74,85,0
2014-08-12T08:46:47,80,76,84,0
2014-08-12T08:46:48,80,76,84,0
2014-08-12T08:46:49,80,76,84,0
2014-08-12T08:46:50,80,76,84,0
2014-08-12T08:46:51,80,76,85,0
2014-08-12T08:46:52,80,76,85,0
2014-08-12T08:46:53,80,76,86,0
2014-08-12T08:46:54,80,76,86,0
2014-08-12T08:46:55,80,78,86,0
2014-08-12T08:46:56,80,80,87,0
2014-08-12T08:46:57,80,81,87,0
2014-08-12T08:46:58,80,81,87,0
2014-08-12T08:46:59,80,82,87,0
2014-08-12T08:47:00,80,81,87,0
2014-08-12T08:47:01,80,80,87,0
2014-08-12T08:47:02,80,79,87,0
2014-08-12T08:47:03,80,79,88,0
2014-08-12T08:47:04,80,78,88,0
2014-08-12T08:47:05,80,79,88,0
2014-08-12T08:47:06,80,80,88,0
2014-08-12T08:47:07,80,81,88,0
2014-08-12T08:47:08,80,82,88,0
2014-08-12T08:47:09,80,83,88,0
2014-08-12T08:47:10,80,83,88,0
2014-08-12T08:47:11,80,82,88,0
2014-08-12T08:47:12,80,82,88,0
2014-08-12T08:47:13,80,82,88,0
2014-08-12T08:47:14,80,83,88,0
2014-08-12T08:47:15,80,82,88,0
2014-08-12T08:47:16,80,82,88,0
2014-08-12T08:47:17,80,82,88,0
2014-08-12T08:47:18,80,82,88,0
2014-08-12T08:47:19,80,82,88,0
2014-08-12T08:47:20,80,82,89,0
2014-08-12T08:47:21,80,82,89,0
2014-08-12T08:47:22,80,82,90,0
2014-08-12T08:47:23,80,82,90,0
2014-08-12T08:47:24,80,82,91,0
2014-08-12T08:47:25,80,82,91,0
2014-08-12T08:47:26,80,82,91,0
2014-08-12T08:47:27,80,82,92,0
2014-08-12T08:47:28,80,82,92,0
2014-08-12T08:47:29,80,83,92,0
2014-08-12T08:47:30,80,83,92,0
