Time,Power (W),Rpm,Pulse,Target pulse
2014-05-27T13:35:27,0,40,88,0
2014-05-27T13:35:28,80,56,88,0
2014-05-27T13:35:29,80,71,88,0
2014-05-27T13:35:30,80,73,88,0
2014-05-27T13:35:31,80,75,87,0
2014-05-27T13:35:32,80,75,87,0
2014-05-27T13:35:33,80,75,87,0
2014-05-27T13:35:34,80,76,87,0
2014-05-27T13:35:35,80,77,88,0
2014-05-27T13:35:36,80,77,89,0
2014-05-27T13:35:37,80,77,90,0
2014-05-27T13:35:38,80,78,90,0
2014-05-27T13:35:39,80,77,91,0
2014-05-27T13:35:40,80,77,92,0
2014-05-27T13:35:41,80,77,92,0
2014-05-27T13:35:42,80,77,92,0
2014-05-27T13:35:43,80,78,92,0
2014-05-27T13:35:44,80,78,92,0
2014-05-27T13:35:45,80,78,92,0
2014-05-27T13:35:46,80,78,92,0
2014-05-27T13:35:47,80,78,93,0
2014-05-27T13:35:48,80,77,93,0
2014-05-27T13:35:49,80,77,93,0
2014-05-27T13:35:50,80,77,93,0
2014-05-27T13:35:51,80,77,94,0
2014-05-27T13:35:52,80,77,94,0
2014-05-27T13:35:53,80,77,95,0
2014-05-27T13:35:54,80,78,96,0
2014-05-27T13:35:55,80,79,96,0
2014-05-27T13:35:56,80,79,97,0
2014-05-27T13:35:57,80,79,98,0
2014-05-27T13:35:58,80,79,99,0
2014-05-27T13:35:59,80,78,99,0
2014-05-27T13:36:00,80,78,99,0
2014-05-27T13:36:01,80,78,100,0
2014-05-27T13:36:02,80,78,100,0
2014-05-27T13:36:03,80,78,101,0
2014-05-27T13:36:04,80,78,101,0
2014-05-27T13:36:05,80,78,102,0
2014-05-27T13:36:06,80,78,102,0
2014-05-27T13:36:07,80,78,102,0
2014-05-27T13:36:08,80,78,103,0
2014-05-27T13:36:09,80,78,103,0
2014-05-27T13:36:10,80,79,103,0
2014-05-27T13:36:11,80,79,104,0
2014-05-27T13:36:12,80,79,104,0
2014-05-27T13:36:13,80,79,104,0
2014-05-27T13:36:14,80,80,105,0
2014-05-27T13:36:15,80,81,106,0
2014-05-27T13:36:16,80,81,106,0
2014-05-27T13:36:17,80,81,106,0
2014-05-27T13:36:18,80,81,107,0
2014-05-27T13:36:19,80,81,107,0
2014-05-27T13:36:20,80,80,107,0
2014-05-27T13:36:21,80,80,108,0
2014-05-27T13:36:22,80,80,108,0
2014-05-27T13:36:23,80,81,108,0
2014-05-27T13:36:24,80,80,108,0
2014-05-27T13:36:25,80,80,108,0
2014-05-27T13:36:26,80,80,108,0
2014-05-27T13:36:27,80,80,107,0
2014-05-27T13:36:28,135,81,107,0
2014-05-27T13:36:29,135,82,108,0
