Time,Power (W),Rpm,Pulse,Target pulse
2014-01-23T17:22:34,0,39,87,0
2014-01-23T17:22:35,80,55,87,0
2014-01-23T17:22:36,80,70,87,0
2014-01-23T17:22:37,80,73,87,0
2014-01-23T17:22:38,80,77,88,0
2014-01-23T17:22:39,80,77,88,0
2014-01-23T17:22:40,80,77,88,0
2014-01-23T17:22:41,80,78,89,0
2014-01-23T17:22:42,80,79,89,0
2014-01-23T17:22:43,80,79,90,0
2014-01-23T17:22:44,80,79,90,0
2014-01-23T17:22:45,80,79,90,0
2014-01-23T17:22:46,80,79,91,0
2014-01-23T17:22:47,80,79,91,0
2014-01-23T17:22:48,80,79,91,0
2014-01-23T17:22:49,80,79,91,0
2014-01-23T17:22:50,80,78,91,0
2014-01-23T17:22:51,80,77,91,0
2014-01-23T17:22:52,80,77,91,0
2014-01-23T17:22:53,80,77,90,0
2014-01-23T17:22:54,80,77,90,0
2014-01-23T17:22:55,80,77,90,0
2014-01-23T17:22:56,80,78,90,0
2014-01-23T17:22:57,80,78,90,0
2014-01-23T17:22:58,80,78,91,0
2014-01-23T17:22:59,80,78,91,0
2014-01-23T17:23:00,80,78,91,0
2014-01-23T17:23:01,80,79,92,0
2014-01-23T17:23:02,80,79,92,0
2014-01-23T17:23:03,80,78,93,0
2014-01-23T17:23:04,80,77,93,0
2014-01-23T17:23:05,80,77,93,0
2014-01-23T17:23:06,80,77,93,0
2014-01-23T17:23:07,80,77,94,0
2014-01-23T17:23:08,80,78,94,0
2014-01-23T17:23:09,80,78,94,0
2014-01-23T17:23:10,80,79,94,0
2014-01-23T17:23:11,80,79,95,0
2014-01-23T17:23:12,80,79,95,0
2014-01-23T17:23:13,80,79,96,0
2014-01-23T17:23:14,80,79,96,0
2014-01-23T17:23:15,80,79,96,0
2014-01-23T17:23:16,80,79,97,0
2014-01-23T17:23:17,80,79,97,0
2014-01-23T17:23:18,80,79,98,0
2014-01-23T17:23:19,80,78,98,0
2014-01-23T17:23:20,80,78,99,0
2014-01-23T17:23:21,80,78,99,0
2014-01-23T17:23:22,80,78,99,0
