Time,Power (W),Rpm,Pulse,Target pulse
2013-10-21T16:00:15,0,34,82,0
2013-10-21T16:00:16,100,49,82,0
2013-10-21T16:00:17,100,64,83,0
2013-10-21T16:00:18,100,70,83,0
2013-10-21T16:00:19,100,76,83,0
2013-10-21T16:00:20,100,78,83,0
2013-10-21T16:00:21,100,80,83,0
2013-10-21T16:00:22,100,82,83,0
2013-10-21T16:00:23,100,82,84,0
2013-10-21T16:00:24,100,82,84,0
2013-10-21T16:00:25,100,82,85,0
2013-10-21T16:00:26,100,82,86,0
2013-10-21T16:00:27,100,81,86,0
2013-10-21T16:00:28,100,81,86,0
2013-10-21T16:00:29,100,81,87,0
2013-10-21T16:00:30,100,82,87,0
2013-10-21T16:00:31,100,83,87,0
2013-10-21T16:00:32,100,84,87,0
2013-10-21T16:00:33,100,84,88,0
2013-10-21T16:00:34,100,84,88,0
2013-10-21T16:00:35,100,84,89,0
2013-10-21T16:00:36,100,84,89,0
2013-10-21T16:00:37,100,84,90,0
2013-10-21T16:00:38,100,84,91,0
2013-10-21T16:00:39,100,84,91,0
2013-10-21T16:00:40,100,84,92,0
2013-10-21T16:00:41,100,84,92,0
2013-10-21T16:00:42,100,84,93,0
2013-10-21T16:00:43,100,84,94,0
2013-10-21T16:00:44,100,84,94,0
2013-10-21T16:00:45,100,84,95,0
2013-10-21T16:00:46,100,84,96,0
2013-10-21T16:00:47,100,84,96,0
2013-10-21T16:00:48,100,83,96,0
2013-10-21T16:00:49,100,83,96,0
2013-10-21T16:00:50,100,84,96,0
2013-10-21T16:00:51,100,85,97,0
2013-10-21T16:00:52,100,85,97,0
2013-10-21T16:00:53,100,86,98,0
2013-10-21T16:00:54,100,86,98,0
2013-10-21T16:00:55,100,85,99,0
2013-10-21T16:00:56,100,84,100,0
2013-10-21T16:00:57,100,83,100,0
2013-10-21T16:00:58,100,82,100,0
2013-10-21T16:00:59,100,83,101,0
2013-10-21T16:01:00,100,83,101,0
2013-10-21T16:01:01,100,84,101,0
2013-10-21T16:01:02,100,84,101,0
2013-10-21T16:01:03,100,84,101,0
2013-10-21T16:01:04,100,84,101,0
2013-10-21T16:01:05,100,83,101,0
2013-10-21T16:01:06,100,83,101,0
2013-10-21T16:01:07,100,83,102,0
2013-10-21T16:01:08,100,83,102,0
2013-10-21T16:01:09,100,83,102,0
2013-10-21T16:01:10,100,84,103,0
2013-10-21T16:01:11,100,84,104,0
2013-10-21T16:01:12,100,84,105,0
2013-10-21T16:01:13,100,84,105,0
2013-10-21T16:01:14,100,85,106,0
