Time,Power (W),Rpm,Pulse,Target pulse
2013-09-09T12:45:12,0,39,78,0
2013-09-09T12:45:13,80,53,78,0
2013-09-09T12:45:14,80,67,78,0
2013-09-09T12:45:15,80,68,78,0
2013-09-09T12:45:16,80,69,78,0
2013-09-09T12:45:17,80,70,78,0
2013-09-09T12:45:18,80,71,78,0
2013-09-09T12:45:19,80,72,78,0
2013-09-09T12:45:20,80,73,78,0
2013-09-09T12:45:21,80,73,78,0
2013-09-09T12:45:22,80,72,78,0
2013-09-09T12:45:23,80,72,78,0
2013-09-09T12:45:24,80,71,78,0
2013-09-09T12:45:25,80,71,78,0
2013-09-09T12:45:26,80,72,79,0
2013-09-09T12:45:27,80,72,79,0
2013-09-09T12:45:28,80,72,78,0
2013-09-09T12:45:29,80,72,78,0
2013-09-09T12:45:30,80,73,78,0
2013-09-09T12:45:31,80,73,78,0
2013-09-09T12:45:32,80,74,79,0
2013-09-09T12:45:33,80,75,79,0
2013-09-09T12:45:34,80,74,79,0
2013-09-09T12:45:35,80,74,80,0
2013-09-09T12:45:36,80,74,80,0
2013-09-09T12:45:37,80,74,80,0
2013-09-09T12:45:38,80,74,81,0
2013-09-09T12:45:39,80,74,81,0
2013-09-09T12:45:40,80,74,81,0
2013-09-09T12:45:41,80,74,81,0
2013-09-09T12:45:42,80,74,81,0
2013-09-09T12:45:43,80,74,81,0
2013-09-09T12:45:44,80,74,81,0
2013-09-09T12:45:45,80,73,81,0
2013-09-09T12:45:46,80,74,81,0
2013-09-09T12:45:47,80,74,81,0
2013-09-09T12:45:48,80,74,81,0
2013-09-09T12:45:49,80,74,81,0
2013-09-09T12:45:50,80,74,81,0
2013-09-09T12:45:51,80,74,81,0
2013-09-09T12:45:52,80,74,81,0
2013-09-09T12:45:53,80,73,82,0
2013-09-09T12:45:54,80,72,83,0
2013-09-09T12:45:55,80,72,84,0
2013-09-09T12:45:56,80,72,86,0
2013-09-09T12:45:57,80,72,87,0
2013-09-09T12:45:58,80,72,88,0
2013-09-09T12:45:59,80,73,88,0
2013-09-09T12:46:00,80,74,88,0
2013-09-09T12:46:01,80,75,88,0
2013-09-09T12:46:02,80,75,88,0
2013-09-09T12:46:03,80,76,88,0
2013-09-09T12:46:04,80,75,88,0
2013-09-09T12:46:05,80,75,89,0
2013-09-09T12:46:06,80,75,89,0
2013-09-09T12:46:07,80,76,89,0
2013-09-09T12:46:08,80,77,90,0
2013-09-09T12:46:09,80,77,90,0
2013-09-09T12:46:10,80,77,91,0
2013-09-09T12:46:11,80,78,91,0
2013-09-09T12:46:12,80,78,91,0
2013-09-09T12:46:13,140,78,92,0
2013-09-09T12:46:14,140,78,92,0
2013-09-09T12:46:15,140,79,93,0
2013-09-09T12:46:16,140,79,93,0
2013-09-09T12:46:17,140,78,94,0
2013-09-09T12:46:18,140,78,94,0
